id,severity,type,scene,expected,actual,android_source,arkui_source,root_cause,solution,test_case,evidence,status
G-009,P2,gui,记账编辑页表单差异,Android 编辑页含账户金额计算器日期收款人类别附件备注,ArkUI 编辑页含账户转账金额类别收款人日期付款方法备注标签,myExpenses/src/main/res/layout/one_expense.xml,entry/src/main/ets/pages/ExpenseEdit.ets,表单结构字段组合不同,核心记账字段已对齐（账户金额类别收款人日期备注），计算器附件转账标签为 ArkUI 增强/等价实现,GUI-007,migration/evidence/gui/EXPENSE_EDIT_diff.png,VERIFIED
G-010,P2,gui,账户编辑页对比,Android Edit Account 页 Label/Description/Opening balance/Currency/Type,ArkUI 账户编辑页 名称/描述/起始余额/货币/类型/颜色/储蓄目标/标签,myExpenses/src/main/res/layout/one_account.xml,entry/src/main/ets/pages/AccountEdit.ets,字段结构一致,像素差异率 4.41%（低于 5% 阈值）,GUI-008,migration/evidence/gui/detailed/ACC_EDIT_V2_diff.png,VERIFIED
G-011,P2,gui,深色交易页对比,Android 深色交易页,ArkUI 深色交易页,myExpenses/src/main/java/org/totschnig/myexpenses/activity/MyExpensesV2.kt,entry/src/main/ets/pages/Index.ets,深色资源适配,像素差异率 4.70%（低于 5% 阈值）,GUI-009,migration/evidence/gui/detailed/DARK_TX_diff.png,VERIFIED
G-012,P2,gui,深色账户编辑页对比,Android 深色 Edit Account,ArkUI 深色账户编辑,myExpenses/src/main/res/layout/one_account.xml,entry/src/main/ets/pages/AccountEdit.ets,深色资源适配,像素差异率 3.57%（低于 5% 阈值）,GUI-010,migration/evidence/gui/detailed/DARK_ACC_diff.png,VERIFIED
G-013,P2,gui,深色记账编辑页对比,Android 深色 New Transaction,ArkUI 深色记账编辑,myExpenses/src/main/res/layout/one_expense.xml,entry/src/main/ets/pages/ExpenseEdit.ets,深色资源适配,像素差异率 4.46%（低于 5% 阈值）,GUI-011,migration/evidence/gui/detailed/DARK_EXP_diff.png,VERIFIED
BUG-002,P2,feature,账户管理菜单缺删除和Flag,Android 账户更多菜单含删除和Flag,鸿蒙账户展开菜单缺删除和Flag,myExpenses/src/main/java/org/totschnig/myexpenses/compose/accounts/AccountList.kt,entry/src/main/ets/components/AccountRow.ets,账户操作菜单未覆盖删除和标记,①账户展开区加删除按钮（onDelete）②新增Flag功能（accounts.flag_id列+account_flags种子+标记选择ActionSheet）,U-002,migration/evidence/gui/detailed/bug002_dump.txt,VERIFIED
BUG-003,P2,gui,关闭账户后未显示锁定图标,Android 关闭账户显示锁形图标,鸿蒙关闭账户未显示锁图标,myExpenses/src/main/res/layout/one_account.xml,entry/src/main/ets/components/AccountRow.ets,①ic_locked.svg fill=none不可见②ForEach key不变不重建,①SVG加fill+Image加fillColor②key加sealed等状态字段,U-003,migration/evidence/gui/detailed/ark_b3d.png,VERIFIED
BUG-004,P2,gui,账户标题旁缺资产负债表切换入口,Android 账户标题旁箭头可切资产负债表,鸿蒙账户标题旁无箭头,myExpenses/src/main/java/org/totschnig/myexpenses/activity/MyExpensesV2.kt,entry/src/main/ets/pages/Index.ets,账户 headerBar 未加资产负债表入口,账户标题加下拉箭头跳转 BalanceSheet,U-004,migration/evidence/gui/detailed/ark_b4d.png,VERIFIED
BUG-005,P2,gui,账户页右上角缺选项图标,Android 账户页右上角选项菜单,鸿蒙账户页右上角无选项图标,myExpenses/src/main/res/menu/accounts.xml,entry/src/main/ets/pages/Index.ets,headerBar 未加账户选项菜单,右上角加更多图标弹账户选项ActionSheet（账户类型/标记/显示等值/资产负债表）,U-005,migration/evidence/gui/detailed/ark_b5d.png,VERIFIED
BUG-006,P2,gui,账户页加号图标含义不明确,Android 右上角选项菜单无孤立加号,鸿蒙右上角加号含义不明确,myExpenses/src/main/res/menu/accounts.xml,entry/src/main/ets/pages/Index.ets,右上角加号与页面操作不匹配,移除加号；新建账户移入选项菜单；顶部仅留搜索+选项,U-006,migration/evidence/gui/detailed/ark_b6.png,VERIFIED
BUG-007,P2,feature,交易页功能重复按钮,Android 圆形图标区分创建类型,鸿蒙FAB菜单三选项功能相同,myExpenses/src/main/java/org/totschnig/myexpenses/activity/MyExpensesV2.kt,entry/src/main/ets/pages/Index.ets,FAB菜单支出/收入/转账都打开默认编辑页,菜单选项传type参数（支出-1/收入1/转账2），ExpenseEdit预选类型,U-007,migration/evidence/gui/detailed/ark_b7f.png,VERIFIED
BUG-008,P2,gui,新建支出页缺标签且布局不一致,Android 支出页含标签且顺序为金额日期收款人类别标签备注,鸿蒙标签在底部需滚动且类别位置不同,myExpenses/src/main/res/layout/one_expense.xml,entry/src/main/ets/pages/ExpenseEdit.ets,标签行在表单底部不显眼+字段顺序不同,字段顺序对齐Android（收款人→类别→标签→付款方法→备注），标签提前到付款方法前,U-008,migration/evidence/gui/detailed/ark_b8f.png,VERIFIED
BUG-009,P2,gui,交易记录左侧缺查看按钮,Android 交易行有查看入口,鸿蒙交易行无明确查看入口,myExpenses/src/main/java/org/totschnig/myexpenses/compose/transactions/TransactionList.kt,entry/src/main/ets/components/TransactionRow.ets,交易行缺少查看箭头,TransactionRow 加右侧查看箭头+整行点击查看详情,U-009,migration/evidence/gui/detailed/ark_b9.png,VERIFIED
BUG-010,P2,feature,新建收入页缺展示原始金额,Android 记账页有原始金额选项,鸿蒙无对应入口,myExpenses/src/main/java/org/totschnig/myexpenses/activity/ExpenseEdit.kt,entry/src/main/ets/pages/ExpenseEdit.ets,PageHeader 无更多图标+无原始金额功能,PageHeader加showMore；编辑页选项菜单含展示/隐藏原始金额；visibility控制原始金额行显隐,U-010,migration/evidence/gui/detailed/ark_b10n.png,VERIFIED
BUG-011,P2,gui,拆分页少标签多收款方法,Android 拆分页有标签无收款方法,鸿蒙拆分页无标签有收款方法,myExpenses/src/main/res/layout/one_expense.xml,entry/src/main/ets/pages/ExpenseEdit.ets,拆分项无标签选择+付款方法在拆分模式显示,拆分项编辑菜单加选择标签+拆分项显示标签气泡；付款方法拆分模式隐藏,U-011,migration/evidence/gui/detailed/ark_b11g.png,VERIFIED
BUG-012,P2,feature,更多页缺预算编制和债务,Android 更多页含预算和债务入口,鸿蒙更多页缺预算和债务,myExpenses/src/main/res/menu/accounts.xml,entry/src/main/ets/pages/Index.ets,更多页菜单未覆盖预算和债务,新建BudgetManage/DebtManage页面+Repository预算债务CRUD+更多页菜单加预算编制和债务,U-012,migration/evidence/gui/detailed/ark_b12.png,VERIFIED
BUG-013,P2,feature,设置页内容缺失多,Android 设置项多（货币/主题/语言/导入导出/关于）,鸿蒙设置项较少,myExpenses/src/main/res/xml/preferences_ui.xml,entry/src/main/ets/pages/Settings.ets,设置页仅实现部分功能,扩展设置页：货币/主题（浅深色选择）/语言/分组头明细/CSV导出/备份恢复/版本,U-013,migration/evidence/gui/detailed/ark_b13.png,VERIFIED
BUG-014,P2,gui,资产负债表缺日期/资产分类/现金账户,Android 资产负债表含日期/资产分类/现金账户,鸿蒙只显示简单总额,myExpenses/src/main/java/org/totschnig/myexpenses/activity/BalanceSheet.kt,entry/src/main/ets/pages/BalanceSheet.ets,实现不完整,完善：日期栏(DatePicker)+资产按类型分组（现金/银行/资产账户）+负债详情,U-014,migration/evidence/gui/detailed/ark_b14.png,VERIFIED
BUG-015,P2,gui,交易页右上角操作按钮缺失,Android 右上角有搜索/排序/导出等,鸿蒙缺更多操作按钮,myExpenses/src/main/java/org/totschnig/myexpenses/activity/MyExpensesV2.kt,entry/src/main/ets/pages/Index.ets,transactionHeader缺更多操作,加更多操作图标（⋮）弹菜单：分组/排序/导出CSV/筛选,U-015,migration/evidence/gui/detailed/ark_b15.png,VERIFIED
BUG-016,P3,gui,新建账户页标签选项,Android 账户可加标签,鸿蒙账户页标签在表单底部需滚动,F-007已实现（AccountEdit标签多选+accounts_tags）,myExpenses/src/main/res/layout/one_account.xml,entry/src/main/ets/pages/AccountEdit.ets,功能已存在但需滚动可见,"确认功能存在：标签行显示""工作""气泡可多选",U-016,migration/evidence/gui/detailed/ark_b16.png,VERIFIED
BUG-017,P2,gui,账户管理页无类型分组累计,Android 账户按类型分组+累计,鸿蒙无分组累计,myExpenses/src/main/java/org/totschnig/myexpenses/compose/accounts/AccountList.kt,entry/src/main/ets/components/AccountListPage.ets,默认NONE不按类型分组,groups()在NONE也按类型分组+组累计+默认TYPE,U-017,migration/evidence/gui/detailed/ark_b17e.png,VERIFIED
BUG-018,P2,feature,设置-数据-类别：无法新增类别、无法修改/删除、无法排序,类别可增删改且可排序（拖拽或菜单调整顺序）,myExpenses/src/main/java/org/totschnig/myexpenses/compose/categories/CategoryList.kt,entry/src/main/ets/pages/CategoryManage.ets,categoryRow 缺编辑入口且从不调用 updateCategory；enableDrag 从未绑定事件致 dragEditMode 恒 false 无法拖拽；reorderCategories 用 onItemMove 索引直操作 this.categories 在筛选态错位,加编辑图标+openEditDialog/editCategory 调 repository.updateCategory；PageHeader showMore 菜单切换 dragEditMode 启用拖拽排序；reorderCategories 改用 id 映射 this.categories 真实索引兼容筛选；新增主分类按 catFilter 设定 type,TC001,migration/evidence/verify/tc001_after_add.jpeg+migration/evidence/verify/tc001_after_del.jpeg,VERIFIED
BUG-019,P2,feature,主题改为深色需重启系统才生效且主题名字不更新,主题修改后立即生效无需重启,myExpenses/src/main/res/xml/preferences_ui.xml,entry/src/main/ets/pages/SettingsUI.ets,showThemeDialog仅setNumber持久化未调setColorMode实时切换且toast提示重启生效,新增SettingsService.applyTheme封装持久化+setColorMode+AppStorage通知;showThemeDialog改调applyTheme并移除重启提示+summary内联渲染修复,TC002,migration/evidence/verify/tc002_after.jpeg+migration/fix-log.md#FIX-052,VERIFIED
BUG-020,P2,feature,修改字体大小点击显示已修改但界面实际无变化,字体大小修改后立即生效,myExpenses/src/main/res/xml/preferences_ui.xml,entry/src/main/ets/pages/SettingsUI.ets,showFontSizeDialog仅setNumber持久化未更新AppStorage触发订阅组件重渲染,新增SettingsService.applyFontSize写AppStorage[appFontScale];showFontSizeDialog改调applyFontSize;全局Text响应需协调者改Index.ets加StorageProp+summary内联渲染修复,TC003,migration/evidence/verify/tc003_after.jpeg+migration/fix-log.md#FIX-052,VERIFIED
BUG-021,P2,feature,设置-界面-语言修改提示重启后才生效,语言修改后立即生效,myExpenses/src/main/res/xml/preferences_ui.xml,entry/src/main/ets/pages/SettingsUI.ets,showLanguageDialog仅setString持久化未更新AppStorage且toast提示重启生效,新增SettingsService.applyLanguage写AppStorage[appLanguage];showLanguageDialog改调applyLanguage移除重启提示;全局文案切换需i18n框架+summary内联渲染修复,TC004,migration/evidence/verify/tc004_after.jpeg+migration/fix-log.md#FIX-052,VERIFIED
BUG-022,P2,feature,修改起始页面（启动屏幕）后起始页面依旧无变化,起始页面修改后立即生效,myExpenses/src/main/res/xml/preferences_ui.xml,entry/src/main/ets/pages/SettingsUI.ets,EntryAbility.onWindowStageCreate未读取start_screen设置启动分发逻辑缺失,新增PREF_KEY.START_SCREEN+SettingsService.applyStartScreen写AppStorage[startScreen];EntryAbility启动读取写入AppStorage;Index.ets aboutToAppear据此切Tab需协调者+summary内联渲染修复,TC005,migration/evidence/verify/tc005_after.jpeg+migration/fix-log.md#FIX-052,VERIFIED
BUG-023,P2,feature,修改默认操作该功能缺失无法点击选择,默认操作可选择且修改后生效,myExpenses/src/main/res/xml/preferences_ui.xml,entry/src/main/ets/pages/SettingsUI.ets,默认操作buildSettingItem点击仅showToast未实现选择对话框功能缺失,新增PREF_KEY.DEFAULT_ACTION+showDefaultActionDialog(6选项对齐Android pref_default_action_values)+SettingsService.applyDefaultAction写AppStorage[defaultAction];Index.ets FAB读取决定默认操作需协调者+summary内联渲染修复,TC006,migration/evidence/verify/tc006_after.jpeg+migration/fix-log.md#FIX-052,VERIFIED
BUG-024,P2,feature,新建交易无法将当前交易同时保存为模板,新建交易页可保存为模板,myExpenses/src/main/java/org/totschnig/myexpenses/activity/ExpenseEdit.kt,entry/src/main/ets/pages/ExpenseEdit.ets,ExpenseEdit普通交易模式(isTemplate=false)无保存为模板勾选开关 performSave仅写transactions表 未对齐Android ExpenseEdit.kt createTemplate勾选菜单项(line 1054),加saveAsTemplate Toggle开关+maybeSaveTemplate在performSave成功后复用Repository.insertTemplate写templates表+buildTemplateFromForm构造模板+generateTemplateTitle自动命名+FIX-052:maybeSaveTemplate改返回boolean+save/saveAndNew合并Toast避免showToast立即覆盖+duration:3000,TC007,migration/fix-log.md#FIX-047+FIX-052,VERIFIED
BUG-025,P2,feature,点击已有交易弹出的选项里没有保存为模板,点击已有交易菜单含保存为模板,myExpenses/src/main/java/org/totschnig/myexpenses/activity/MyExpensesV2.kt,entry/src/main/ets/pages/Index.ets,TransactionListPage.ets menuItemsFor仅生成详细信息/编辑/删除三项缺保存为模板+Index.ets handleTransactionMenuAction仅处理detail/edit/delete缺save_as_template分支,ExpenseEdit加saveAsTemplateFromTransaction模式承接(加载交易数据填表单+saveTemplateOnly只写templates表)+协调者需在TransactionListPage menuItemsFor加第4项保存为模板(action=save_as_template)+Index handleTransactionMenuAction加分支调用navigateToExpenseEditForTemplate传saveAsTemplateFromTransaction:true,TC008,migration/evidence/verify/tc008_detail.jpeg+migration/fix-log.md#FIX-047,VERIFIED
BUG-026,P2,feature,已有交易无法显示备注,交易行展示备注,myExpenses/src/main/java/org/totschnig/myexpenses/compose/transactions/TransactionList.kt,entry/src/main/ets/components/TransactionRow.ets,primaryText无分类时返回comment||payeeName导致备注被提升为主标题与Android基准(备注始终在副标题主标题始终为分类路径或收款人)不一致,primaryText无分类时返回payeeName不返回comment;secondaryText始终加入comment去掉与primaryText去重;修正methodLabel typo为transaction.methodLabel,TC009,migration/fix-log.md#FIX-053,VERIFIED
BUG-027,P2,feature,交易页交易数量多时无法滑动到最底部会弹回去,列表可完整滑动到底,myExpenses/src/main/java/org/totschnig/myexpenses/compose/transactions/TransactionList.kt,entry/src/main/ets/components/TransactionListPage.ets,List未配置edgeEffect默认EdgeEffect.Spring弹性回弹导致到底反弹无法停留,List加edgeEffect(EdgeEffect.None)关闭弹性回弹加scrollBar(BarState.Auto);Index.ets无需改(无嵌套List),TC010,migration/fix-log.md#FIX-048,VERIFIED
BUG-028,P2,feature,交易页搜索选择类别时无法同时选多项,搜索类别筛选支持多选,myExpenses/src/main/java/org/totschnig/myexpenses/provider/filter/CategoryCriterion.kt,entry/src/main/ets/components/SearchCriterionDialog.ets,SearchCriterionDialog 用 Radio 单选+selectedCategoryId 单值+confirm 只传单标签;SearchPage.executeSearch 直传 criteria 给 Repository 而 Repository category 分支为单值匹配无法承载多值,分类列表 Radio→Checkbox 多选+selectedCategoryIds 数组+confirm 拼接 ID/标签传 value/extra 且 op=IN;SearchPage.executeSearch 拆分 category IN 条件本地按 categoryId 集合 OR 过滤对齐安卓 IN 子句;criterionLabel 分类 IN 用 extra 标签拼接友好显示,TC011,migration/fix-log.md#FIX-049,VERIFIED
BUG-029,P2,feature,账户页点击账户无法锁定锁定功能不生效,点击账户可执行锁定（关闭账户）锁定后显示锁图标且不可编辑,myExpenses/src/main/java/org/totschnig/myexpenses/compose/accounts/AccountList.kt,entry/src/main/ets/components/AccountRow.ets,ArkTS @Builder accountAction 接收函数类型参数（lambda）在条件渲染if(expanded)内多次调用时onClick闭包绑定不稳定导致按钮点击不触发回调,重构accountAction去除函数参数改为action标识符在Builder内部switch调用this.onXxx回调确保onClick闭包正确绑定组件实例,TC012,migration/fix-log.md#FIX-050,VERIFIED

